word,rank,sentence_count
also,94,524
need,130,603
year,144,620
around,147,753
same,150,816
both,154,865
use,155,588
state,156,140
between,159,592
each,163,825
lot,165,255
president,169,25
school,170,599
mean,173,709
since,180,920
used,183,698
part,185,537
few,187,805
against,190,678
doing,192,510
women,196,309
children,197,948
family,199,435
na,200,11
money,201,529
today,202,219
american,207,14
during,208,152
point,212,307
kind,213,842
different,214,275
end,215,741
show,216,495
god,217,367
feel,220,916
high,223,442
states,224,15
government,226,54
students,229,31
until,230,888
country,231,368
city,233,167
maybe,236,137
public,237,66
called,238,949
call,239,664
case,241,218
talk,242,768
times,247,644
actually,248,120
days,249,799
real,250,551
fact,251,342
care,254,808
number,255,79
less,257,234
second,259,417
important,261,131
hey,263,32
someone,264,128
trying,265,463
getting,266,571
change,267,296
week,268,425
however,270,462
business,272,394
everything,273,694
small,274,547
wanted,276,784
least,277,640
thank,279,336
power,281,200
group,282,53
four,283,542
having,285,518
name,286,815
war,288,233
information,289,26
problem,290,16
job,291,62
later,292,319
already,293,370
game,294,173
black,295,882
making,297,493
million,300,22
book,301,437
together,302,753
health,304,92
question,306,311
person,309,289
often,311,559
ago,312,588
past,314,376
social,315,44
news,316,367
bad,317,737
play,318,533
try,319,756
coming,320,858
company,321,225
others,322,459
side,323,695
team,324,10
read,325,500
whether,326,299
able,327,401
almost,328,794
political,329,13
live,330,649
law,332,146
become,333,247
start,334,188
saying,335,478
open,336,671
working,337,138
whole,338,647
support,339,23
stop,340,355
york,341,40
five,342,384
probably,343,170
among,345,681
using,346,46
idea,349,394
run,350,785
makes,351,373
early,352,308
else,353,775
including,354,10
study,355,149
john,356,665
understand,357,440
top,358,370
human,359,137
talking,361,386
free,362,271
along,363,864
within,364,251
history,365,76
several,368,284
line,369,174
ask,370,799
please,372,496
across,374,725
kids,375,10
car,376,23
behind,377,998
party,378,257
child,379,991
america,380,16
everyone,381,158
body,382,271
remember,383,604
example,384,51
sorry,385,469
hear,386,958
control,387,31
given,388,472
rather,389,956
means,390,231
started,393,514
office,394,113
True,395,576
wrong,397,346
months,398,183
friends,399,582
general,400,102
matter,401,749
move,402,171
education,403,43
food,404,328
either,407,377
happened,409,630
large,411,342
sense,413,223
center,414,11
pay,415,293
leave,416,707
order,417,236
music,418,248
pretty,419,943
taking,420,342
police,421,14
process,422,20
turn,423,550
comes,424,461
lost,425,623
future,427,83
court,428,107
table,429,469
half,430,917
close,431,426
hope,432,778
light,433,644
minutes,434,360
seems,435,381
parents,436,102
possible,437,254
reason,438,298
bit,439,577
experience,440,101
words,442,634
although,443,259
wait,444,470
according,447,39
air,448,627
full,449,791
deal,450,387
anyone,451,305
death,452,488
local,453,10
hours,454,213
thanks,455,101
stay,457,642
age,458,140
front,459,293
sometimes,460,479
instead,461,375
moment,462,869
living,463,315
college,464,147
needs,466,85
plan,468,200
dr,470,317
bring,471,602
level,472,33
major,473,56
washington,474,19
clear,475,327
bill,476,104
outside,477,274
service,478,140
friend,480,706
taken,481,500
perhaps,483,765
six,484,276
season,485,87
members,486,25
known,487,418
word,488,943
problems,489,18
cut,490,447
thinking,491,555
likely,493,232
street,494,157
son,496,626
themselves,498,368
late,499,351
inside,501,307
looks,502,310
especially,503,165
former,504,60
market,506,62
myself,508,860
nice,509,676
wife,510,866
finally,513,218
toward,514,131
military,515,16
fine,517,573
report,518,54
dead,519,649
hold,520,416
questions,521,165
special,522,48
baby,523,414
cause,524,170
south,525,116
phone,528,15
hit,531,82
north,532,158
lives,534,281
couple,535,85
rest,536,676
church,537,448
goes,538,276
red,539,930
class,540,108
development,541,10
act,542,115
above,543,306
figure,544,172
watch,545,360
middle,546,230
simply,547,203
happen,548,259
wants,549,214
sort,550,437
personal,551,31
running,552,279
needed,553,129
space,554,69
tried,555,659
form,556,126
easy,557,306
department,558,14
exactly,559,251
view,560,110
art,561,180
building,563,71
evidence,564,17
field,565,176
seem,566,430
ways,567,189
provide,568,13
energy,569,32
alone,570,820
ready,571,615
yourself,572,539
weeks,573,174
answer,574,421
became,575,341
happy,577,884
gets,578,152
reading,579,138
guess,581,416
certain,583,261
town,584,405
meet,585,356
longer,588,483
worked,589,175
itself,590,221
third,591,253
whatever,592,212
following,593,158
single,594,181
rights,595,31
stuff,597,102
short,599,388
takes,600,118
strong,601,379
per,602,14
force,603,51
brought,604,764
current,607,29
post,608,100
fire,609,526
science,610,11
society,611,109
bush,612,97
feet,613,625
works,614,43
month,615,174
road,618,548
interest,619,193
whose,620,289
david,621,193
chance,622,451
student,623,35
held,625,481
higher,626,59
oil,627,47
break,628,215
buy,629,156
west,630,326
attention,631,109
win,633,117
cost,635,84
dad,636,33
near,637,686
services,638,11
lead,639,133
sound,640,474
learn,641,270
points,642,38
ground,643,477
low,644,313
common,645,128
position,646,60
private,648,69
list,649,32
series,650,20
continue,651,26
hair,653,700
listen,654,268
land,655,320
test,656,30
stand,657,303
press,658,24
knows,660,419
certainly,661,486
share,662,146
nearly,663,317
result,664,73
further,665,187
action,666,39
fall,667,337
check,668,12
blood,669,243
shot,670,184
situation,671,53
everybody,674,472
difficult,675,82
medical,676,11
studies,677,21
model,679,46
games,680,37
killed,681,251
truth,682,363
county,683,13
vote,684,20
books,685,214
article,686,24
earth,687,329
schools,688,12
record,689,16
tonight,690,187
playing,691,171
terms,692,41
risk,694,73
husband,697,374
return,698,321
present,700,212
hell,701,29
key,702,81
kill,703,258
project,704,14
individual,705,10
nature,706,357
effect,707,116
shows,708,31
decision,710,42
forward,711,277
park,714,34
writing,715,127
similar,716,12
met,717,510
fight,720,290
fun,721,435
spent,722,180
step,723,236
wrote,724,239
feeling,726,507
teachers,727,12
dark,728,669
george,729,239
california,732,26
changes,733,42
wall,734,291
board,735,105
paper,736,224
cases,737,24
value,740,41
agree,741,67
recently,742,18
learning,743,66
price,744,90
color,745,62
natural,747,104
particular,748,138
sir,751,904
et,752,14
beyond,753,275
usually,754,93
significant,755,11
walk,756,396
summer,758,402
died,759,479
michael,760,119
entire,761,29
serious,762,72
ahead,763,98
rate,765,79
practice,767,45
east,768,127
earlier,770,26
beautiful,772,847
period,773,18
reported,774,23
simple,775,120
girls,776,820
drive,777,204
final,778,30
daughter,779,498
quickly,780,264
moved,781,196
language,782,57
p,784,89
race,785,93
hour,788,425
hot,789,263
brother,790,507
thus,791,240
jobs,792,12
meeting,793,209
sex,794,16
decided,795,240
kept,796,657
choice,797,73
type,798,18
c,799,27
election,800,11
interesting,801,154
note,802,152
ones,803,270
add,804,38
difference,805,129
speak,806,542
somebody,809,204
moving,810,90
led,811,311
write,812,290
b,814,36
knowledge,815,91
giving,816,153
bed,817,861
response,818,21
increase,819,11
de,822,114
sent,824,554
eat,826,701
china,827,59
despite,828,24
played,829,180
deep,830,329
stories,831,161
due,832,54
paul,833,335
offer,834,118
changed,835,230
beginning,836,263
begin,837,273
training,838,30
blue,839,597
st,840,199
approach,841,24
foreign,842,44
seven,843,228
performance,844,37
won,845,148
worth,847,275
floor,849,249
lower,850,87
miles,851,168
main,852,64
consider,853,71
picture,854,210
mark,855,156
kid,857,16
